id,spkid,full_name,pdes,name,prefix,neo,pha,H,diameter,albedo,diameter_sigma,orbit_id,epoch,epoch_mjd,epoch_cal,equinox,e,a,q,i,om,w,ma,ad,n,tp,tp_cal,per,per_y,moid,moid_ld,sigma_e,sigma_a,sigma_q,sigma_i,sigma_om,sigma_w,sigma_ma,sigma_ad,sigma_n,sigma_tp,sigma_per,class,rms
bK13C73R,3626664,       (2013 CR73),2013 CR73,,,N,N,16.2,4.205,0.028,0.288,JPL 6,2459000.5,59000,20200531.0,J2000,0.0565992650820817,3.161939195574072,2.982975760870351,8.344549205388155,314.4535160326441,126.3003268364865,151.0986520878687,3.340902630277793,0.175296725104955,2458138.540645098,20180120.0406451,2053.660727457733,5.62261663917244,2.00859,781.6829703,6.8959e-07,1.3928e-07,2.1123e-06,3.6064e-05,8.6232e-05,0.00042247,0.00038525,1.4716e-07,1.1582e-08,0.0021781,0.00013569,MBA,0.69768
a0003440,2003440,  3440 Stampfer (1950 DD),3440,Stampfer,,N,N,12.6,10.588,0.173,0.157,JPL 32,2459000.5,59000,20200531.0,J2000,0.0553167712499343,2.80424435011007,2.64912260686611,7.540819775113564,171.1244991773586,145.1775449491711,181.5939272131481,2.95936609335403,0.20988446448912,2459850.520382505,20220928.0203825,1715.229380489292,4.69604210948471,1.64031,638.3594427,4.0601e-08,1.2994e-08,1.1121e-07,4.3342e-06,2.8968e-05,4.7608e-05,3.8737e-05,1.3713e-08,1.4588e-09,0.00018519,1.1922e-05,MBA,0.46306
a0216769,2216769,216769 (2005 UD382),216769,,,N,N,15.0,,,,JPL 12,2459000.5,59000,20200531.0,J2000,0.1026973019067167,3.135178569174606,2.813204189124614,11.40545622147178,116.7562811239546,241.8109414381975,247.4998583996969,3.457152949224599,0.1775459013964643,2459634.1397557785,20220223.6397558,2027.644666356512,5.55138854580838,1.82985,712.1227245,7.8166e-08,3.8418e-08,2.5915e-07,5.0529e-06,4.5534e-05,5.4111e-05,3.2724e-05,4.2363e-08,3.2634e-09,0.00018793,3.7269e-05,MBA,0.63283
a0003627,2003627,  3627 Sayers (1973 DS),3627,Sayers,,N,N,13.8,11.062,0.055,0.095,JPL 32,2459000.5,59000,20200531.0,J2000,0.1469527389041828,2.348309607946346,2.003219079263623,9.71249313285736,85.65652610241123,126.9880349539022,5.485739921914158,2.69340013662907,0.2738867618529852,2458980.470773743,20200510.9707737,1314.411830511319,3.59866346478116,1.0121,393.878957,3.3564e-08,7.5835e-09,7.9449e-08,3.5518e-06,2.1336e-05,2.4396e-05,1.1602e-05,8.698e-09,1.3267e-09,4.2352e-05,6.3671e-06,MBA,0.43643
a0003193,2003193,  3193 Elliot (1982 DJ),3193,Elliot,,N,N,13.2,5.851,0.225,0.167,JPL 31,2459000.5,59000,20200531.0,J2000,0.1064889005786732,2.295609861753809,2.051152891418086,5.726662656361617,11.74757748389682,76.45244322319651,51.79564114990361,2.540066832089532,0.2833720103510505,2458817.7168059726,20191130.216806,1270.414814624847,3.47820620020492,1.07629,418.8597793,2.6775e-08,6.718e-09,6.2236e-08,3.6573e-06,3.0848e-05,3.5846e-05,1.7856e-05,7.4334e-09,1.2439e-09,6.2946e-05,5.5767e-06,MBA,0.4679
a0019467,2019467, 19467 Amandanagy (1998 HU39),19467,Amandanagy,,N,N,14.5,4.24,0.187,1.016,JPL 28,2459000.5,59000,20200531.0,J2000,0.0114287687161729,2.729942620920887,2.698742738097959,2.125198921177945,178.6595234594032,107.6791975271917,243.474328541296,2.761142503743815,0.2185112469998032,2459533.7708181324,20211115.2708181,1647.512450470452,4.51064325933046,1.68334,655.1054278,3.2167e-08,1.2141e-08,8.9248e-08,4.542e-06,9.2914e-05,0.00022244,0.00020304,1.228e-08,1.4577e-09,0.00092934,1.099e-05,MBA,0.53731
a0005922,2005922,  5922 Shouichi (1992 UV),5922,Shouichi,,N,N,11.9,29.417,0.032,0.217,JPL 36,2459000.5,59000,20200531.0,J2000,0.1124951151485426,3.002257109280461,2.664517850066425,7.864861321164043,232.0799813169628,148.7462558505878,117.8609842905819,3.339996368494497,0.1894664208389046,2458378.4320696048,20180916.9320696,1900.072838268756,5.20211591586244,1.6717,650.575489,4.1826e-08,1.6432e-08,1.1982e-07,3.726e-06,2.7781e-05,3.2543e-05,1.7131e-05,1.828e-08,1.5554e-09,8.9387e-05,1.5599e-05,MBA,0.4047
a0231555,2231555,231555 Christianeurda (2008 TT2),231555,Christianeurda,,N,N,15.9,4.642,0.036,0.71,JPL 21,2459000.5,59000,20200531.0,J2000,0.051310415095581,2.92658869511153,2.776424214351322,4.031194106493987,328.1878347919646,37.83161008673262,143.1154416625611,3.076753175871737,0.1968618390543801,2458273.515824956,20180604.015825,1828.693675367705,5.00669041852897,1.7752,690.854584,6.156e-08,2.6372e-08,1.8162e-07,5.4097e-06,7.6216e-05,9.2139e-05,5.3276e-05,2.7725e-08,2.6609e-09,0.00026962,2.4718e-05,MBA,0.50128
a0011332,2011332, 11332 Jameswatt (1996 GO20),11332,Jameswatt,,N,N,14.1,4.289,0.264,0.188,JPL 29,2459000.5,59000,20200531.0,J2000,0.118277108390338,2.624266553532103,2.313875893934848,2.873376021718106,197.7429461692217,267.7047965295814,338.252704167142,2.934657213129359,0.2318420220208264,2459094.3022177485,20200901.8022177,1552.781488282832,4.25128401993931,1.33286,518.7091262,2.9441e-08,1.0241e-08,8.0122e-08,3.9817e-06,5.8884e-05,6.1477e-05,1.7743e-05,1.1452e-08,1.3571e-09,7.6686e-05,9.0895e-06,MBA,0.49225
a0006214,2006214,  6214 Mikhailgrinev (1971 SN2),6214,Mikhailgrinev,,N,N,12.3,16.819,0.103,0.119,JPL 31,2459000.5,59000,20200531.0,J2000,0.1863866131821126,3.155822238218045,2.567619219431789,2.367342818992104,82.85374258815517,260.2831905954093,240.2422520626414,3.7440252570043,0.1758066407214128,2459681.690127096,20220412.1901271,2047.704219378517,5.6063086088392,1.56116,607.5566372,3.9618e-08,1.5871e-08,1.2965e-07,3.3505e-06,0.00010654,0.00010688,1.0053e-05,1.8829e-08,1.3262e-09,5.9693e-05,1.5447e-05,MBA,0.47586
a0018152,2018152, 18152 Heidimanning (2000 OW60),18152,Heidimanning,,N,N,13.4,7.642,0.174,0.298,JPL 30,2459000.5,59000,20200531.0,J2000,0.0628541754707401,3.050983237040198,2.859216201300987,9.266021236221462,343.2496887716123,297.5295962834057,291.9437907852042,3.242750272779409,0.1849457439630256,2459368.4793206183,20210602.9793206,1946.516812368341,5.32927258690853,1.85798,723.0700766,3.1348e-08,1.7582e-08,1.0359e-07,4.1666e-06,2.1846e-05,4.1758e-05,3.5774e-05,1.8687e-08,1.5987e-09,0.0001938,1.6826e-05,MBA,0.46442
a0024027,2024027, 24027 Downs (1999 RP176),24027,Downs,,N,N,15.3,5.809,0.036,0.164,JPL 28,2459000.5,59000,20200531.0,J2000,0.1580436856591069,2.447957327979752,2.061073129529613,2.004970231379861,241.4661763478822,171.8704056988035,100.9545686153884,2.834841526429892,0.2573346746505457,2458608.1915450566,20190504.6915451,1398.956438687757,3.8301339868248,1.0723,417.306991,2.945e-08,9.2456e-09,7.0196e-08,3.3913e-06,0.00013506,0.00013615,1.8675e-05,1.0707e-08,1.4579e-09,7.1341e-05,7.9255e-06,MBA,0.51258
a0127434,2127434,127434 (2002 PA17),127434,,,N,N,15.4,6.734,0.032,2.073,18,2459000.5,59000,20200531.0,J2000,0.1412438621520122,3.082796526506898,2.647370438874256,4.023957789643101,217.3425403720434,15.61777324618765,165.7599546479491,3.518222614139541,0.1820902878419287,2458090.182615078,20171202.6826151,1977.04119350129,5.4128437878201,1.63677,636.9817809,5.4935e-08,2.9191e-08,1.7559e-07,6.874e-06,7.6288e-05,7.9896e-05,2.6093e-05,3.3314e-08,2.5863e-09,0.00013703,2.8081e-05,MBA,0.54695
a0021719,2021719, 21719 Pasricha (1999 RR115),21719,Pasricha,,N,N,15.5,4.282,0.08,0.122,JPL 27,2459000.5,59000,20200531.0,J2000,0.1302558278504013,2.421504165645477,2.10608913590613,2.106335997720563,150.0687710248304,211.1896462080349,158.8035703845349,2.736919195384823,0.2615629598288854,2458393.3667480727,20181001.8667481,1376.341666402277,3.76821811472218,1.10326,429.3556942,3.6393e-08,8.7462e-09,8.8162e-08,4.3302e-06,8.4657e-05,8.5805e-05,1.4566e-05,9.8855e-09,1.4171e-09,5.4627e-05,7.4568e-06,MBA,0.54429
bK08GF4D,3917680,       (2008 GD154),2008 GD154,,,N,N,18.162,,,,JPL 2,2459000.5,59000,20200531.0,J2000,0.2190995092444608,2.308453456534462,1.802672437094082,6.954486539931167,130.3020734817717,184.9511557720698,81.9880315332432,2.814234475974842,0.2810103979182258,2458708.73844192,20190813.2384419,1281.091385468093,3.50743705809197,0.789006,307.05746502,8.5155e-08,1.6921e-08,1.9727e-07,8.2883e-06,3.8432e-05,4.3184e-05,1.356e-05,2.0629e-08,3.0898e-09,4.8669e-05,1.4086e-05,MBA,0.5391
a0004407,2004407,  4407 Taihaku (1988 TF1),4407,Taihaku,,N,N,12.6,9.316,0.311,0.142,JPL 35,2459000.5,59000,20200531.0,J2000,0.0577471266307533,2.712691073207117,2.556040958292511,4.71797658723779,256.9771377083467,89.41651434293178,65.87251753798796,2.869341188121723,0.220599013785801,2458701.892511201,20190806.3925112,1631.92026030341,4.46795416920851,1.5541,604.809097,3.2979e-08,1.0989e-08,9.0631e-08,3.6354e-06,4.4694e-05,5.6425e-05,3.3118e-05,1.1624e-08,1.3405e-09,0.00015032,9.9164e-06,MBA,0.4536
a0033044,2033044, 33044 Erikdavy (1997 UE),33044,Erikdavy,,N,N,15.7,2.101,0.253,0.246,JPL 26,2459000.5,59000,20200531.0,J2000,0.0924637513267088,2.378368457638891,2.158455588008481,0.5139497572620512,185.4547434864134,256.9240121759426,8.480505293838613,2.598281327269301,0.2687109529356334,2458968.940046075,20200429.4400461,1339.729534903752,3.66797956168036,1.17443,457.0529231,3.0302e-08,8.5296e-09,7.5392e-08,3.9268e-06,0.00034683,0.00034752,2.1753e-05,9.3183e-09,1.4455e-09,8.0916e-05,7.2071e-06,MBA,0.52331
a0310273,2310273,310273 Paulsmeyers (2011 UT52),310273,Paulsmeyers,,N,N,17.2,2.085,0.085,0.489,JPL 14,2459000.5,59000,20200531.0,J2000,0.183610063942628,2.296337850688873,1.874707111090012,3.753078426296995,89.58953111493696,251.0829865031037,213.9061923111379,2.717968590287733,0.2832372684157245,2459516.300086994,20211028.800087,1271.019177715011,3.47986085616704,0.870196,338.65417732,3.8318e-08,1.9682e-08,8.877e-08,5.3967e-06,6.4588e-05,6.6447e-05,1.7303e-05,2.3296e-08,3.6414e-09,6.5146e-05,1.6341e-05,MBA,0.55796
a0034250,2034250, 34250 Mamichael (2000 QA112),34250,Mamichael,,N,N,15.8,3.925,0.079,0.113,JPL 19,2459000.5,59000,20200531.0,J2000,0.1012149600109175,2.290605492682008,2.058761949339411,9.064916730991987,339.602769332435,251.053705191081,354.9277160345267,2.522449036024605,0.2843011570699716,2459018.341235744,20200617.8412357,1266.262873180631,3.46683880405375,1.07051,416.6103767,4.6336e-08,1.1227e-08,1.062e-07,5.0994e-06,2.9191e-05,3.8232e-05,2.4339e-05,1.2363e-08,2.0902e-09,8.5585e-05,9.3094e-06,MBA,0.57059
a0001421,2001421,  1421 Esperanto (1936 FQ),1421,Esperanto,,N,N,10.3,43.31,0.0714,3.1,JPL 32,2459000.5,59000,20200531.0,J2000,0.0845443160074291,3.087438036846986,2.826412699806438,9.803120277406247,42.57858643328046,162.7471106897262,150.8291634342945,3.348463373887534,0.1816798231384974,2458170.307847516,20180220.8078475,1981.507873472369,5.42507289109478,1.82314,709.5113938,3.8586e-08,1.3782e-08,1.1991e-07,4.3242e-06,2.297e-05,3.2459e-05,2.3226e-05,1.4948e-08,1.2165e-09,0.00012696,1.3268e-05,MBA,0.43456
bK14EC7P,3793853,       (2014 EP127),2014 EP127,,,N,N,15.6,,,,JPL 9,2459000.5,59000,20200531.0,J2000,0.0531829239618252,3.464766928677873,3.280500492564551,7.204620616705157,277.0869591914332,273.4301041323365,322.9220205532238,3.649033364791194,0.1528245183855864,2459243.1180029125,20210128.6180029,2355.642954435466,6.44939891700333,2.29132,891.7130044,7.5423e-08,6.9055e-08,2.8623e-07,1.0912e-05,6.0786e-05,0.00012376,0.00010531,7.2727e-08,4.5688e-09,0.00068766,7.0424e-05,OMB,0.66577
a0008555,2008555,  8555 Mirimao (1995 LD),8555,Mirimao,,N,N,14.5,2.373,0.453,0.257,JPL 29,2459000.5,59000,20200531.0,J2000,0.0707707931798783,2.355866221028363,2.189139699940503,6.014837568337939,216.5890026592754,19.0082972199631,340.4088547782896,2.522592742116223,0.2725700514192222,2459072.375633877,20200810.8756339,1320.76139005568,3.61604761137763,1.17885,458.7730545,3.5956e-08,7.6788e-09,8.7334e-08,3.6509e-06,2.9355e-05,3.7818e-05,2.3962e-05,8.2222e-09,1.3326e-09,8.7922e-05,6.4574e-06,MBA,0.48325
a0002776,2002776,  2776 Baikal (1976 SZ7),2776,Baikal,,N,N,12.8,19.441,0.033,0.101,JPL 34,2459000.5,59000,20200531.0,J2000,0.1757145670094669,2.3664870616407,1.950660812270999,4.787968280908778,187.4712160302683,321.0554347770877,222.4316989510875,2.782313311010402,0.2707371621334352,2459508.624928121,20211021.1249281,1329.702938315394,3.64052823631867,0.96445,375.3350065,3.6559e-08,6.7431e-09,8.6231e-08,3.5831e-06,4.5097e-05,4.5948e-05,9.5995e-06,7.9279e-09,1.1572e-09,3.6244e-05,5.6833e-06,MBA,0.48249
a0001749,2001749,  1749 Telamon (1949 SB),1749,Telamon,,N,N,9.5,64.898,0.073,0.666,44,2459000.5,59000,20200531.0,J2000,0.1081258392989401,5.146987430611364,4.590465094815415,6.097768384403886,340.8492140272174,112.8970304856976,257.4464467899267,5.703509766407313,0.0844062123985569,2460215.500060965,20230928.000061,4265.088904832254,11.6771770152834,3.6132,1406.149044,3.9075e-08,5.4582e-08,2.1862e-07,4.305e-06,4.0292e-05,4.5504e-05,2.3476e-05,6.0484e-08,1.3427e-09,0.00028636,6.7845e-05,TJN,0.49075
a0004337,2004337,  4337 Arecibo (1985 GB),4337,Arecibo,,N,N,12.3,19.686,0.077,0.235,JPL 34,2459000.5,59000,20200531.0,J2000,0.0905499517838402,3.259726693091603,2.964558598203662,2.213077270504737,41.20819106457544,181.5347550747869,331.6218542006788,3.554894787979545,0.1674681761881984,2459169.9539610166,20201116.453961,2149.66215190304,5.88545421465582,1.95584,761.1542528,4.1105e-08,1.8417e-08,1.3736e-07,4.4733e-06,0.00010943,0.00011192,2.3697e-05,2.0085e-08,1.4193e-09,0.00014126,1.8218e-05,OMB,0.47103
